,State,US Population 2015,US Population 2016,US Population 2017,US Population 2018
0,Mississippi,2988081.0,2989192.0,2986220.0,2988762.0
1,Missouri,6045448.0,6059651.0,6075300.0,6090062.0
2,Montana,1014699.0,1023391.0,1029862.0,1041732.0
3,Nebraska,1869365.0,1881259.0,1893921.0,1904760.0
4,Nevada,2798636.0,2839172.0,2887725.0,2922849.0
5,New Hampshire,1324201.0,1327503.0,1331848.0,1343622.0
6,New Jersey,8904413.0,8915456.0,8960161.0,8881845.0
7,New Mexico,2084117.0,2082669.0,2084828.0,2092434.0
8,New York,19673174.0,19697457.0,19798228.0,19618453.0
9,North Carolina,9845333.0,9940828.0,10052564.0,10155624.0
10,North Dakota,721640.0,736162.0,745475.0,752201.0
11,Ohio,11575977.0,11586941.0,11609756.0,11641879.0
12,Oklahoma,3849733.0,3875589.0,3896251.0,3918137.0
13,Oregon,3939233.0,3982267.0,4025127.0,4081943.0
14,Pennsylvania,12779559.0,12783977.0,12790505.0,12791181.0
15,Rhode Island,1053661.0,1054491.0,1056138.0,1056611.0
16,South Carolina,4777576.0,4834605.0,4893444.0,4955925.0
17,South Dakota,843190.0,851058.0,855444.0,864289.0
18,Tennessee,6499615.0,6548009.0,6597381.0,6651089.0
19,Texas,26538614.0,26956435.0,27419612.0,27885195.0
20,Vermont,626604.0,626249.0,624636.0,624977.0
21,Utah,2903379.0,2948427.0,2993941.0,3045350.0
22,Virginia,8256630.0,8310301.0,8365952.0,8413774.0
23,Washington,6985464.0,7073146.0,7169967.0,7294336.0
24,West Virginia,1851420.0,1846092.0,1836843.0,1829054.0
25,Wisconsin,5742117.0,5754798.0,5763217.0,5778394.0
26,Wyoming,579679.0,583029.0,583200.0,581836.0
27,Puerto Rico,3583073.0,3529385.0,3468963.0,3386941.0
28,Alabama,4830620.0,4841164.0,4850771.0,4864680.0
29,Alaska,733375.0,736855.0,738565.0,738516.0
30,Arizona,6641928.0,6728577.0,6809946.0,6946685.0
31,Arkansas,2958208.0,2968472.0,2977944.0,2990671.0
32,California,38421464.0,38654206.0,38982847.0,39148760.0
33,Colorado,5278906.0,5359295.0,5436519.0,5531141.0
34,Delaware,926454.0,934695.0,943732.0,949495.0
35,District of Columbia,647484.0,659009.0,672391.0,684498.0
36,Connecticut,3593222.0,3588570.0,3594478.0,3581504.0
37,Florida,19645772.0,19934451.0,20278447.0,20598139.0
38,Georgia,10006693.0,10099320.0,10201635.0,10297484.0
39,Idaho,1616547.0,1635483.0,1657375.0,1687809.0
40,Hawaii,1406299.0,1413673.0,1421658.0,1422029.0
41,Illinois,12873761.0,12851684.0,12854526.0,12821497.0
42,Indiana,6568645.0,6589578.0,6614418.0,6637426.0
43,Iowa,3093526.0,3106589.0,3118102.0,3132499.0
44,Kansas,2892987.0,2898292.0,2903820.0,2908776.0
45,Kentucky,4397353.0,4411989.0,4424376.0,4440204.0
46,Louisiana,4625253.0,4645670.0,4663461.0,4663616.0
47,Maine,1329100.0,1329923.0,1330158.0,1332813.0
48,Maryland,5930538.0,5959902.0,5996079.0,6003435.0
49,Massachusetts,6705586.0,6742143.0,6789319.0,6830193.0
50,Michigan,9900571.0,9909600.0,9925568.0,9957488.0
51,Minnesota,5419171.0,5450868.0,5490726.0,5527358.0
