,State,Household Income 2015,Household Income 2016,Household Income 2017,Household Income 2018
0,Mississippi,39665.0,40528.0,42009.0,43567.0
1,Missouri,48173.0,49593.0,51542.0,53560.0
2,Montana,47169.0,48380.0,50801.0,52559.0
3,Nebraska,52997.0,54384.0,56675.0,59116.0
4,Nevada,51847.0,53094.0,55434.0,57598.0
5,New Hampshire,66779.0,68485.0,71305.0,74057.0
6,New Jersey,72093.0,73702.0,76475.0,79363.0
7,New Mexico,44963.0,45674.0,46718.0,48059.0
8,New York,59269.0,60741.0,62765.0,65323.0
9,North Carolina,46868.0,48256.0,50320.0,52413.0
10,North Dakota,57181.0,59114.0,61285.0,63473.0
11,Ohio,49429.0,50674.0,52407.0,54533.0
12,Oklahoma,46879.0,48038.0,49767.0,51424.0
13,Oregon,51243.0,53270.0,56119.0,59393.0
14,Pennsylvania,53599.0,54895.0,56951.0,59445.0
15,Rhode Island,56852.0,58387.0,61043.0,63296.0
16,South Carolina,45483.0,46898.0,48781.0,51015.0
17,South Dakota,50957.0,52078.0,54126.0,56499.0
18,Tennessee,45219.0,46574.0,48708.0,50972.0
19,Texas,53207.0,54727.0,57051.0,59570.0
20,Vermont,55176.0,56104.0,57808.0,60076.0
21,Utah,60727.0,62518.0,65325.0,68374.0
22,Virginia,65015.0,66149.0,68766.0,71564.0
23,Washington,61062.0,62848.0,66174.0,70116.0
24,West Virginia,41751.0,42644.0,44061.0,44921.0
25,Wisconsin,53357.0,54610.0,56759.0,59209.0
26,Wyoming,58840.0,59143.0,60938.0,62268.0
27,Puerto Rico,19350.0,19606.0,19775.0,20166.0
28,Alabama,43623.0,44758.0,46472.0,48486.0
29,Alaska,72515.0,74444.0,76114.0,76715.0
30,Arizona,50255.0,51340.0,53510.0,56213.0
31,Arkansas,41371.0,42336.0,43813.0,45726.0
32,California,61818.0,63783.0,67169.0,71228.0
33,Colorado,60629.0,62520.0,65458.0,68811.0
34,Delaware,60509.0,61017.0,63036.0,65627.0
35,District of Columbia,70848.0,72935.0,77649.0,82604.0
36,Connecticut,70331.0,71755.0,73781.0,76106.0
37,Florida,47507.0,48900.0,50883.0,53267.0
38,Georgia,49620.0,51037.0,52977.0,55679.0
39,Idaho,47583.0,49174.0,50985.0,53089.0
40,Hawaii,69515.0,71977.0,74923.0,78084.0
41,Illinois,57574.0,59196.0,61229.0,63575.0
42,Indiana,49255.0,50433.0,52182.0,54325.0
43,Iowa,53183.0,54570.0,56570.0,58580.0
44,Kansas,52205.0,53571.0,55477.0,57422.0
45,Kentucky,43740.0,44811.0,46535.0,48392.0
46,Louisiana,45047.0,45652.0,46710.0,47942.0
47,Maine,49331.0,50826.0,53024.0,55425.0
48,Maryland,74551.0,76067.0,78916.0,81868.0
49,Massachusetts,68563.0,70954.0,74167.0,77378.0
50,Michigan,49576.0,50803.0,52668.0,54938.0
51,Minnesota,61492.0,63217.0,65699.0,68411.0
