,Year,Weather Condition,Days
0,2015,Clear,184.9
1,2015,Clouds,133.2
2,2015,Fog/Mist,29.0
3,2015,Rain,10.0
4,2015,Smoke/Haze,2.8
5,2015,Snow,6.3
6,2016,Clear,179.9
7,2016,Clouds,132.1
8,2016,Fog/Mist,34.8
9,2016,Rain,4.1
10,2016,Smoke/Haze,1.5
11,2016,Snow,14.2
12,2017,Clear,188.2
13,2017,Clouds,138.6
14,2017,Fog/Mist,35.9
15,2017,Rain,0.8
16,2017,Smoke/Haze,1.8
17,2017,Snow,0.3
18,2018,Clear,180.4
19,2018,Clouds,136.0
20,2018,Fog/Mist,34.6
21,2018,Rain,6.4
22,2018,Smoke/Haze,2.2
23,2018,Snow,6.8
