Year,weather_main,count of hours
2015,Clear,5368
2015,Clouds,2656
2015,Drizzle,65
2015,Fog,34
2015,Haze,17
2015,Mist,203
2015,Rain,258
2015,Snow,58
2015,Thunderstorm,112
2016,Clear,5395
2016,Clouds,2906
2016,Drizzle,30
2016,Fog,22
2016,Haze,64
2016,Mist,100
2016,Rain,178
2016,Snow,9
2016,Thunderstorm,102
2017,Clear,5487
2017,Clouds,2818
2017,Drizzle,29
2017,Fog,29
2017,Haze,19
2017,Mist,168
2017,Rain,158
2017,Smoke,4
2017,Snow,6
2017,Squall,1
2017,Thunderstorm,71
2018,Clear,5558
2018,Clouds,2510
2018,Drizzle,82
2018,Fog,23
2018,Haze,15
2018,Mist,166
2018,Rain,302
2018,Snow,8
2018,Thunderstorm,106
